customer_id,age,gender,loyalty_member,join_date
1,40,Male,1,2025-05-21
2,47,Male,0,2021-12-26
3,58,Female,1,2022-09-13
4,25,Female,0,2025-02-27
5,43,Male,0,2023-08-31
6,32,Male,0,2022-05-22
7,51,Male,1,2024-07-28
8,56,Female,0,2024-08-12
9,18,Male,0,2025-06-23
10,40,Male,0,2023-06-07
11,44,Male,0,2025-12-22
12,53,Male,1,2024-01-24
13,68,Male,1,2022-03-23
14,32,Female,1,2024-08-16
15,61,Female,1,2026-02-18
16,30,Female,0,2025-09-19
17,29,Male,0,2021-05-03
18,67,Male,1,2023-09-28
19,69,Male,1,2022-09-28
20,32,Female,1,2022-05-11
21,29,Female,1,2021-09-22
22,66,Male,0,2025-06-28
23,49,Female,0,2025-09-23
24,32,Male,1,2022-01-10
25,33,Male,0,2025-08-11
26,31,Female,0,2024-09-26
27,29,Male,0,2024-08-29
28,68,Female,0,2025-02-07
29,54,Female,0,2023-05-23
30,54,Female,0,2025-06-11
31,65,Female,0,2024-05-17
32,28,Male,1,2025-10-21
33,47,Female,1,2022-04-19
34,23,Female,1,2024-06-13
35,67,Male,0,2021-09-02
36,58,Male,1,2022-05-02
37,56,Female,1,2024-02-13
38,28,Female,1,2023-05-11
39,27,Female,1,2023-07-25
40,23,Female,1,2024-10-16
41,66,Male,0,2022-12-04
42,27,Female,0,2025-05-12
43,39,Female,1,2024-08-07
44,41,Male,1,2023-12-05
45,30,Female,0,2024-01-04
46,69,Male,0,2021-05-06
47,31,Male,1,2025-07-12
48,23,Male,0,2023-01-22
49,49,Female,1,2025-09-04
50,28,Male,0,2025-02-08
51,27,Male,1,2023-06-06
52,29,Female,0,2021-10-04
53,39,Female,0,2023-12-26
54,45,Female,0,2024-10-15
55,70,Female,0,2022-07-03
56,58,Female,1,2023-08-21
57,30,Male,1,2024-04-29
58,66,Male,0,2023-08-06
59,67,Male,1,2024-10-23
60,43,Male,1,2025-08-13
61,46,Male,1,2025-07-09
62,40,Female,1,2021-06-03
63,53,Female,0,2025-06-26
64,54,Female,0,2025-01-20
65,54,Male,1,2022-12-30
66,34,Female,0,2022-02-09
67,66,Male,1,2024-05-02
68,59,Female,0,2021-08-29
69,59,Female,1,2024-04-20
70,58,Female,0,2022-02-16
71,48,Female,0,2022-11-10
72,38,Female,1,2023-09-14
73,48,Female,0,2022-11-09
74,26,Female,1,2023-08-14
75,60,Female,1,2023-11-19
76,28,Male,1,2023-08-11
77,36,Male,1,2023-01-31
78,69,Female,1,2023-12-09
79,21,Female,0,2024-10-03
80,38,Male,1,2022-01-29
81,21,Male,0,2024-03-25
82,49,Male,0,2024-04-16
83,38,Female,1,2024-06-19
84,66,Female,1,2021-07-17
85,64,Female,0,2023-09-30
86,47,Female,1,2021-03-16
87,47,Male,1,2022-06-03
88,38,Female,1,2022-04-22
89,58,Female,1,2025-06-24
90,44,Male,0,2022-07-18
91,35,Male,0,2024-04-17
92,21,Male,1,2024-09-04
93,39,Female,1,2022-02-23
94,18,Male,1,2026-01-15
95,35,Male,0,2023-12-11
96,42,Female,1,2025-01-30
97,65,Male,0,2024-06-04
98,27,Female,1,2022-06-18
99,62,Male,1,2021-07-17
100,67,Female,1,2025-08-10
101,36,Male,1,2023-11-15
102,27,Female,0,2024-07-20
103,23,Female,0,2022-08-12
104,42,Female,1,2025-12-14
105,67,Female,0,2022-05-09
106,60,Male,1,2024-03-29
107,60,Female,1,2023-11-10
108,62,Female,1,2023-06-25
109,34,Female,0,2022-07-23
110,43,Male,1,2025-12-09
111,27,Female,0,2024-07-19
112,58,Female,0,2022-10-17
113,69,Female,1,2023-12-28
114,65,Female,0,2025-06-16
115,21,Female,1,2025-09-24
116,22,Male,0,2023-06-04
117,36,Female,0,2024-08-03
118,57,Female,1,2023-10-27
119,52,Female,0,2023-09-03
120,41,Female,0,2024-08-03
121,38,Male,1,2022-09-20
122,47,Male,1,2023-12-09
123,57,Female,1,2022-09-24
124,23,Male,0,2023-10-07
125,45,Male,1,2025-04-11
126,65,Male,1,2023-11-01
