store_id,store_name,product_name,total_sold,rank_in_store
3,"Chocolate Store 3","Lindt Milk Chocolate 60% (50g)",142,1
3,"Chocolate Store 3","Ferrero Truffle Chocolate 50% (100g)",114,2
3,"Chocolate Store 3","Godiva Truffle Chocolate 70% (100g) [ID:159]",108,3
3,"Chocolate Store 3","Cadbury Milk Chocolate 50% (100g)",107,4
3,"Chocolate Store 3","Godiva Truffle Chocolate 70% (100g) [ID:191]",106,5
3,"Chocolate Store 3","Godiva Milk Chocolate 70% (120g)",106,5
3,"Chocolate Store 3","Godiva Truffle Chocolate 70% (200g)",106,5
3,"Chocolate Store 3","Hershey Milk Chocolate 50% (50g)",105,8
3,"Chocolate Store 3","Ferrero Truffle Chocolate 50% (200g)",105,8
3,"Chocolate Store 3","Lindt Dark Chocolate 50% (120g)",104,10
3,"Chocolate Store 3","Lindt Dark Chocolate 60% (50g)",104,10
3,"Chocolate Store 3","Godiva Dark Chocolate 70% (200g)",103,12
3,"Chocolate Store 3","Hershey Milk Chocolate 70% (100g)",103,12
3,"Chocolate Store 3","Ferrero Praline Chocolate 70% (100g)",102,14
3,"Chocolate Store 3","Cadbury Truffle Chocolate 80% (120g)",101,15
3,"Chocolate Store 3","Hershey Milk Chocolate 50% (100g)",100,16
3,"Chocolate Store 3","Godiva Truffle Chocolate 80% (100g)",100,16
3,"Chocolate Store 3","Cadbury White Chocolate 90% (80g)",98,18
3,"Chocolate Store 3","Hershey Milk Chocolate 70% (200g)",96,19
3,"Chocolate Store 3","Hershey Milk Chocolate 90% (50g)",96,19
3,"Chocolate Store 3","Mars Dark Chocolate 50% (50g) [ID:117]",95,21
3,"Chocolate Store 3","Lindt Praline Chocolate 70% (200g)",95,21
3,"Chocolate Store 3","Ferrero Praline Chocolate 50% (120g)",94,23
3,"Chocolate Store 3","Godiva White Chocolate 70% (50g)",93,24
3,"Chocolate Store 3","Ferrero Praline Chocolate 50% (50g)",93,24
3,"Chocolate Store 3","Ferrero Praline Chocolate 90% (80g)",93,24
3,"Chocolate Store 3","Ferrero Dark Chocolate 90% (80g)",93,24
3,"Chocolate Store 3","Ferrero Praline Chocolate 50% (100g) [ID:177]",93,24
3,"Chocolate Store 3","Lindt Truffle Chocolate 90% (50g)",93,24
3,"Chocolate Store 3","Lindt Truffle Chocolate 60% (50g)",91,30
3,"Chocolate Store 3","Mars Milk Chocolate 80% (120g)",91,30
3,"Chocolate Store 3","Cadbury Milk Chocolate 60% (50g)",91,30
3,"Chocolate Store 3","Hershey White Chocolate 80% (50g)",90,33
3,"Chocolate Store 3","Ferrero Dark Chocolate 50% (50g)",89,34
3,"Chocolate Store 3","Godiva Praline Chocolate 80% (120g)",88,35
3,"Chocolate Store 3","Mars Milk Chocolate 90% (80g)",88,35
3,"Chocolate Store 3","Cadbury Milk Chocolate 70% (100g)",87,37
3,"Chocolate Store 3","Godiva Truffle Chocolate 90% (200g)",87,37
3,"Chocolate Store 3","Lindt White Chocolate 70% (200g)",86,39
3,"Chocolate Store 3","Cadbury Dark Chocolate 60% (200g) [ID:156]",86,39
3,"Chocolate Store 3","Ferrero Praline Chocolate 60% (50g) [ID:50]",86,39
3,"Chocolate Store 3","Lindt Truffle Chocolate 80% (100g)",86,39
3,"Chocolate Store 3","Godiva White Chocolate 90% (100g)",85,43
3,"Chocolate Store 3","Ferrero White Chocolate 70% (50g)",85,43
3,"Chocolate Store 3","Lindt Truffle Chocolate 80% (200g)",84,45
3,"Chocolate Store 3","Cadbury White Chocolate 90% (120g) [ID:195]",84,45
3,"Chocolate Store 3","Cadbury Milk Chocolate 70% (80g)",84,45
3,"Chocolate Store 3","Hershey Milk Chocolate 90% (80g)",84,45
3,"Chocolate Store 3","Hershey Truffle Chocolate 70% (120g)",84,45
3,"Chocolate Store 3","Ferrero White Chocolate 90% (100g)",83,50
3,"Chocolate Store 3","Ferrero Milk Chocolate 70% (100g)",82,51
3,"Chocolate Store 3","Godiva Milk Chocolate 80% (50g) [ID:97]",82,51
3,"Chocolate Store 3","Godiva Milk Chocolate 80% (50g) [ID:45]",82,51
3,"Chocolate Store 3","Lindt Praline Chocolate 90% (120g) [ID:25]",82,51
3,"Chocolate Store 3","Lindt Truffle Chocolate 80% (120g)",82,51
3,"Chocolate Store 3","Cadbury Dark Chocolate 80% (200g)",82,51
3,"Chocolate Store 3","Mars Dark Chocolate 80% (50g)",82,51
